Thn,bln,tgl,temp_rata-rata,lembab_rata-rata,ch,cahaya_jam,curah_hujan_kategori
2022,1,1,27.0,84.0,1.0,3.5,rendah
2022,1,2,25.8,91.0,8.1,2.5,rendah
2022,1,3,26.3,86.0,29.3,2.0,tinggi
2022,1,4,26.7,87.0,0.5,5.5,rendah
2022,1,5,26.9,85.0,22.3,0.0,sedang
2022,1,6,26.0,87.0,0.0,3.8,rendah
2022,1,7,26.3,88.0,0.3,2.9,rendah
2022,1,8,27.2,83.0,2.1,2.0,rendah
2022,1,9,27.3,86.0,0.0,4.4,rendah
2022,1,10,27.1,86.0,3.9,4.9,rendah
2022,1,11,26.6,88.0,0.4,4.1,rendah
2022,1,12,27.3,85.0,2.5,0.5,rendah
2022,1,13,28.0,80.0,1.1,5.2,rendah
2022,1,14,28.2,80.0,0.0,6.6,rendah
2022,1,15,26.9,84.0,0.0,6.9,rendah
2022,1,16,26.7,86.0,16.4,6.3,sedang
2022,1,17,26.4,86.0,32.0,1.9,tinggi
2022,1,18,28.1,82.0,0.2,1.5,rendah
2022,1,19,25.2,92.0,0.0,4.8,rendah
2022,1,20,26.4,84.0,6.1,0.0,rendah
2022,1,21,27.2,78.0,0.0,2.9,rendah
2022,1,22,27.6,77.0,0.0,6.0,rendah
2022,1,23,28.3,75.0,0.0,7.2,rendah
2022,1,24,28.5,69.0,0.0,7.7,rendah
2022,1,25,27.9,80.0,0.0,9.0,rendah
2022,1,26,27.9,85.0,27.8,7.2,tinggi
2022,1,27,26.8,88.0,10.5,6.0,sedang
2022,1,28,26.5,84.0,7.4,6.4,rendah
2022,1,29,27.4,79.0,1.0,7.2,rendah
2022,1,30,28.4,77.0,0.0,7.0,rendah
2022,1,31,28.3,81.0,0.0,6.2,rendah
2022,2,1,26.8,84.0,0.0,3.6,rendah
2022,2,2,26.9,84.0,6.5,1.7,rendah
2022,2,3,26.6,86.0,0.4,2.2,rendah
2022,2,4,27.8,81.0,32.0,2.4,tinggi
2022,2,5,28.0,82.0,0.0,6.9,rendah
2022,2,6,28.1,80.0,0.3,4.0,rendah
2022,2,7,26.5,91.0,1.5,8.3,rendah
2022,2,8,26.2,90.0,2.0,2.0,rendah
2022,2,9,26.7,86.0,4.6,0.0,rendah
2022,2,10,26.2,87.0,1.5,4.4,rendah
2022,2,11,25.9,89.0,32.0,4.9,tinggi
2022,2,12,26.7,88.0,32.0,4.7,tinggi
2022,2,13,25.7,91.0,0.0,1.7,rendah
2022,2,14,26.0,90.0,13.6,0.8,sedang
2022,2,15,26.3,89.0,32.0,2.0,tinggi
2022,2,16,25.9,94.0,0.0,4.9,rendah
2022,2,17,27.1,87.0,8.2,2.4,rendah
2022,2,18,27.4,84.0,0.0,2.6,rendah
2022,2,19,27.5,82.0,0.0,7.7,rendah
2022,2,20,27.7,81.0,32.0,7.9,tinggi
2022,2,21,26.5,78.0,0.9,3.2,rendah
2022,2,22,26.5,85.0,0.0,0.0,rendah
2022,2,23,27.3,79.0,2.0,0.0,rendah
2022,2,24,28.2,78.0,0.0,4.9,rendah
2022,2,25,28.3,80.0,0.0,7.0,rendah
2022,2,26,27.1,82.0,0.0,0.0,rendah
2022,2,27,27.1,83.0,6.9,6.9,rendah
2022,2,28,27.2,84.0,5.0,6.2,rendah
2022,3,1,27.9,84.0,32.0,6.6,tinggi
2022,3,2,27.0,87.0,19.0,7.4,sedang
2022,3,3,26.6,88.0,22.2,3.1,sedang
2022,3,4,26.2,90.0,15.5,2.1,sedang
2022,3,5,26.4,88.0,10.9,3.8,sedang
2022,3,6,26.5,89.0,0.3,1.8,rendah
2022,3,7,26.5,88.0,4.4,2.8,rendah
2022,3,8,27.9,82.0,6.4,2.0,rendah
2022,3,9,27.3,85.0,0.0,7.1,rendah
2022,3,10,27.5,87.0,0.8,5.0,rendah
2022,3,11,27.2,88.0,0.0,1.0,rendah
2022,3,12,26.5,87.0,32.0,5.5,tinggi
2022,3,13,27.3,88.0,3.9,4.9,rendah
2022,3,14,26.5,88.0,5.5,0.2,rendah
2022,3,15,27.5,86.0,5.7,5.7,rendah
2022,3,16,27.9,86.0,0.0,6.5,rendah
2022,3,17,26.6,89.0,32.0,2.3,tinggi
2022,3,18,27.1,86.0,15.1,4.9,sedang
2022,3,19,28.0,82.0,4.0,3.3,rendah
2022,3,20,27.2,82.0,0.7,7.3,rendah
2022,3,21,28.0,82.0,14.2,7.3,sedang
2022,3,22,27.4,84.0,4.2,1.2,rendah
2022,3,23,26.7,89.0,12.1,2.4,sedang
2022,3,24,27.5,86.0,32.0,0.1,tinggi
2022,3,25,27.3,86.0,24.2,6.5,sedang
2022,3,26,26.5,84.0,32.0,5.8,tinggi
2022,3,27,27.3,84.0,0.2,5.3,rendah
2022,3,28,26.2,86.0,0.0,5.5,rendah
2022,3,29,26.5,86.0,32.0,0.0,tinggi
2022,3,30,25.8,90.0,32.0,0.8,tinggi
2022,3,31,25.6,92.0,32.0,3.7,tinggi
2022,4,1,26.3,89.0,6.7,3.6,rendah
2022,4,2,26.8,86.0,32.0,5.8,tinggi
2022,4,3,27.1,85.0,32.0,6.1,tinggi
2022,4,4,27.1,84.0,32.0,4.1,tinggi
2022,4,5,27.7,82.0,0.0,6.5,rendah
2022,4,6,27.5,82.0,0.0,6.1,rendah
2022,4,7,27.8,82.0,1.0,7.1,rendah
2022,4,8,27.9,81.0,5.0,5.5,rendah
2022,4,9,28.2,80.0,0.0,7.4,rendah
2022,4,10,27.4,81.0,1.0,8.1,rendah
2022,4,11,28.0,78.0,32.0,6.6,tinggi
2022,4,12,28.2,78.0,0.0,9.0,rendah
2022,4,13,27.4,82.0,0.0,8.9,rendah
2022,4,14,28.4,82.0,32.0,5.4,tinggi
2022,4,15,28.6,80.0,0.0,3.9,rendah
2022,4,16,27.8,82.0,0.0,6.5,rendah
2022,4,17,25.1,94.0,0.0,3.0,rendah
2022,4,18,27.3,86.0,21.9,2.0,sedang
2022,4,19,28.3,85.0,0.5,6.4,rendah
2022,4,20,26.9,90.0,0.0,5.5,rendah
2022,4,21,27.1,88.0,18.5,4.3,sedang
2022,4,22,28.5,83.0,2.5,7.2,rendah
2022,4,23,28.0,85.0,32.0,8.7,tinggi
2022,4,24,27.3,88.0,3.0,0.5,rendah
2022,4,25,26.3,92.0,22.3,5.8,sedang
2022,4,26,27.6,86.0,7.0,2.3,rendah
2022,4,27,25.1,95.0,17.2,7.4,sedang
2022,4,28,27.6,88.0,32.0,1.9,tinggi
2022,4,29,26.5,90.0,2.0,5.5,rendah
2022,4,30,26.0,92.0,6.2,5.4,rendah
2022,5,1,27.1,86.0,3.8,2.4,rendah
2022,5,2,27.5,85.0,0.3,9.5,rendah
2022,5,3,27.7,84.0,1.0,1.9,rendah
2022,5,4,27.3,87.0,0.0,8.2,rendah
2022,5,5,26.3,92.0,14.0,4.8,sedang
2022,5,6,27.4,86.0,0.0,4.7,rendah
2022,5,7,28.3,86.0,3.9,5.8,rendah
2022,5,8,26.7,92.0,32.0,7.1,tinggi
2022,5,9,25.5,96.0,10.2,1.7,sedang
2022,5,10,28.3,85.0,32.0,0.0,tinggi
2022,5,11,27.7,88.0,27.5,6.8,tinggi
2022,5,12,28.4,85.0,0.0,3.0,rendah
2022,5,13,27.7,88.0,0.9,4.4,rendah
2022,5,14,27.6,88.0,19.9,1.6,sedang
2022,5,15,27.9,86.0,6.5,5.9,rendah
2022,5,16,27.4,88.0,0.0,6.7,rendah
2022,5,17,27.4,84.0,1.4,4.3,rendah
2022,5,18,26.6,91.0,0.0,6.3,rendah
2022,5,19,26.9,87.0,27.3,0.0,tinggi
2022,5,20,26.7,89.0,2.2,2.7,rendah
2022,5,21,26.1,88.0,2.0,3.5,rendah
2022,5,22,26.1,89.0,4.5,4.3,rendah
2022,5,23,27.0,86.0,3.8,6.0,rendah
2022,5,24,26.0,94.0,4.7,4.0,rendah
2022,5,25,27.7,86.0,32.0,0.0,tinggi
2022,5,26,26.3,93.0,3.6,4.9,rendah
2022,5,27,24.9,94.0,10.2,4.1,sedang
2022,5,28,26.2,88.0,3.2,0.0,rendah
2022,5,29,27.4,84.0,0.0,2.9,rendah
2022,5,30,26.9,88.0,1.3,7.2,rendah
2022,5,31,28.1,83.0,0.0,1.0,rendah
2022,6,1,26.5,88.0,0.0,7.9,rendah
2022,6,2,27.4,81.0,2.5,3.0,rendah
2022,6,3,26.7,88.0,0.0,8.2,rendah
2022,6,4,25.7,90.0,32.0,6.2,tinggi
2022,6,5,26.9,83.0,1.2,0.5,rendah
2022,6,6,26.9,84.0,0.0,8.0,rendah
2022,6,7,26.6,89.0,7.4,4.8,rendah
2022,6,8,26.8,85.0,1.5,2.9,rendah
2022,6,9,27.7,81.0,0.0,6.8,rendah
2022,6,10,27.5,80.0,0.0,8.2,rendah
2022,6,11,25.1,93.0,0.0,8.3,rendah
2022,6,12,25.6,92.0,32.0,0.3,tinggi
2022,6,13,25.2,95.0,8.9,0.0,rendah
2022,6,14,25.3,94.0,12.5,0.9,sedang
2022,6,15,26.0,92.0,0.5,0.0,rendah
2022,6,16,26.6,84.0,7.1,0.5,rendah
2022,6,17,26.0,92.0,0.1,5.4,rendah
2022,6,18,26.2,90.0,6.2,1.3,rendah
2022,6,19,25.5,92.0,32.0,1.0,tinggi
2022,6,20,26.4,85.0,2.5,2.5,rendah
2022,6,21,25.2,92.0,0.0,5.8,rendah
2022,6,22,23.7,97.0,8.6,0.0,rendah
2022,6,23,24.1,98.0,32.0,0.0,tinggi
2022,6,24,26.6,86.0,7.8,0.0,rendah
2022,6,25,25.8,92.0,0.0,8.0,rendah
2022,6,26,26.1,90.0,2.4,4.3,rendah
2022,6,27,26.1,91.0,8.3,4.1,rendah
2022,6,28,25.7,90.0,16.5,1.4,sedang
2022,6,29,26.0,89.0,0.0,0.0,rendah
2022,6,30,26.0,90.0,13.2,4.1,sedang
2022,7,1,26.5,87.0,15.2,3.1,sedang
2022,7,2,26.2,91.0,0.0,4.7,rendah
2022,7,3,24.8,96.0,32.0,1.7,tinggi
2022,7,4,26.3,91.0,26.6,0.0,tinggi
2022,7,5,26.9,86.0,3.2,2.2,rendah
2022,7,6,27.3,84.0,0.5,6.4,rendah
2022,7,7,26.1,89.0,0.0,3.6,rendah
2022,7,8,25.5,90.0,32.0,3.1,tinggi
2022,7,9,25.2,94.0,3.7,0.7,rendah
2022,7,10,26.3,88.0,12.0,0.4,sedang
2022,7,11,24.8,94.0,32.0,1.7,tinggi
2022,7,12,25.6,92.0,3.4,0.2,rendah
2022,7,13,26.0,88.0,13.0,0.4,sedang
2022,7,14,25.1,89.0,0.6,4.5,rendah
2022,7,15,24.2,96.0,4.5,1.7,rendah
2022,7,16,26.0,88.0,32.0,0.0,tinggi
2022,7,17,26.7,87.0,32.0,2.6,tinggi
2022,7,18,24.0,96.0,1.1,4.7,rendah
2022,7,19,24.8,93.0,32.0,0.0,tinggi
2022,7,20,26.1,89.0,32.0,1.2,tinggi
2022,7,21,25.2,92.0,0.9,1.8,rendah
2022,7,22,26.6,88.0,6.5,2.4,rendah
2022,7,23,26.4,86.0,32.0,3.4,tinggi
2022,7,24,25.6,80.0,0.0,3.8,rendah
2022,7,25,25.3,83.0,0.0,6.8,rendah
2022,7,26,25.8,91.0,0.0,4.5,rendah
2022,7,27,26.0,85.0,16.4,2.1,sedang
2022,7,28,25.8,82.0,1.2,6.2,rendah
2022,7,29,26.4,82.0,1.0,4.5,rendah
2022,7,30,26.1,87.0,1.5,5.3,rendah
2022,7,31,24.9,95.0,32.0,3.3,tinggi
2022,8,1,26.0,90.0,15.9,0.6,sedang
2022,8,2,26.6,86.0,7.0,0.5,rendah
2022,8,3,26.9,81.0,32.0,7.1,tinggi
2022,8,4,26.2,82.0,0.0,7.9,rendah
